Participant_ID,Course,Term_pre,Year_pre,Year_write_pre,Major_pre,Languages_pre,Born_US_pre,Age_move_US_pre,1st_gen_pre,1st_gen_write_pre,financial_aid_pre,financial_aid_write_pre,ethnicity_pre,Used_AI,Frequency_use_AI,Uses_of_AI_pre,Uses_of_AI_write_pre,Why_use_AI,Understand_limitations_pre,Valuable_part_process,Plagiarism,Drafts,Focus_drafts_pre,Focus_drafts_write,Feedback_feel_pre,Feedback_importance_pre,Preferred_feedback_pre,Preferred_feedback_write_pre,Advantages_AI_pre,Disadvantages_AI_pre,Year_post,Year_write_post,Major_post,Languages_post,Born_US_post,Age_move_US_post,Language_write_in,Language_write_in_other,1st_gen_post,1st_gen_write_post,financial_aid_post,financial_aid_write_post,ethnicity_post,Used_AI_post,Focus_drafts_post,Feedback_feel_post,Preferred_feedback_post,Preferred_feedback_write_post,peer_motivate_revise_post,AI_motivate_revise_post
P283,PLA,spring_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th year,NA,"Communications and Linguistics major, Chinese minor","English: advanced, Mandarin: advanced",Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",No impact on confidence,Peer feedback,NA,Somewhat disagree,Somewhat disagree
P327,DSW,spring_24,2nd year,NA,Economics,"English: advanced, Mandarin: intermediate, Cantonese: intermediate",Yes,NA,No,NA,Yes,NA,Asian/Pacific Islander,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat agree,Somewhat disagree,Strongly agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,No impact on confidence,Strongly agree,Peer feedback,NA,"I think it would be helpful for technical things like grammar and spelling, and maybe even fact-checking.",I'm afraid that my ideas would no longer be mine.,2nd year,NA,Economics,"English: advanced, Mandarin: intermediate, Cantonese: intermediate",Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,No,NA,More confident about my writing,Peer feedback,NA,Somewhat agree,Neither agree nor disagree
P343,DSW,spring_24,2nd year,NA,Cognitive Science,"English: advanced, Kannada: intermediate",Yes,NA,No,NA,No,NA,Asian/Pacific Islander,No,2 = infrequently,I do not use AI Writing Tools,NA,NA,Strongly agree,Somewhat disagree,Neither agree nor disagree,No,NA,NA,No impact on confidence,Somewhat agree,Peer feedback,NA,I am not sure if it will have benefits.,I am worried that I will be stealing others work.,2nd year,NA,Cognitive Science,"English: advanced, Kannada: Intermediate",Yes,NA,English,NA,No,NA,No,NA,Asian/Pacific Islander,No,NA,More confident about my writing,Peer feedback,NA,Somewhat agree,Neither agree nor disagree
P366,DSW,spring_24,1st year,NA,Design,"Spanish: advanced, English: advanced",Yes,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar),Other",Ideas,I use AI as a tool. I use it to help me with grammar errors and coming up with efficient ways to express my ideas.,Strongly agree,Strongly agree,Somewhat disagree,No,NA,NA,No impact on confidence,Strongly agree,Both AI and peer feedback,NA,AI is beneficial for feedback such as grammar and structure because it is able to detect those thing quickly. However I don't rely on it for content and material that needs to be learned to write the paper.,Some disadvantages may be that some professors don't see AI as a tool and instead see it as a form of cheating which I completely disagree with. It would be cheating if I rely on the AI to write my entire paper but I use AI the way I would use peers to revise my paper.,1st year,NA,Design,"English: fluent, Spanish: native, fluent",Yes,NA,English,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,No,NA,No impact on confidence,Peer feedback,NA,Strongly agree,Somewhat disagree
P379,PLA,spring_24,4th year,NA,"Wildlife, Fish, and Conservation Biology","English: Advanced, Spanish: Advanced",Yes,NA,No,NA,Yes,NA,Hispanic/Latinx/Chicanx,No,1 = never,I do not use AI Writing Tools,NA,NA,Strongly agree,Strongly agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Peer feedback,NA,Helping with the grammar and helps start the flow of the writing assignment.,It is not always accurate writing.,4th year,NA,Wildlife and Fish Conservation Biology,Spanish and English: Advanced in both,Yes,NA,English,NA,No,NA,Yes,NA,Hispanic/Latinx/Chicanx,No,NA,More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Strongly agree
P397,DSW,spring_24,3rd year,NA,Design and Computer Science,"English: advanced, Mandarin: Intermediate",Yes,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work)",NA,Sometimes it is a lot easier to word vomit ideas and allow AI to help me structure it in a way that is coherent.,Strongly agree,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",NA,No impact on confidence,Somewhat disagree,Other,instructor feedback,"I think ChatGPT can give pretty object feedback, but usually it isn't helpful if you are pretty proficient at writing.",Sometimes ChatGPT gives bad advice.,3rd year,NA,Design and Computer Science,"English: advanced, Mandarin: intermediate",Yes,NA,English,NA,No,NA,No,NA,Asian/Pacific Islander,No,NA,No impact on confidence,Peer feedback,NA,Somewhat agree,Neither agree nor disagree
P404,PLA,spring_24,1st year,NA,Earth Science,"English: advanced, French: beginner",Yes,NA,No,NA,No,NA,White/Caucasian,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,I have used Grammarly in the past to increase the fluidity and coherency of my writing.,Somewhat agree,Neither agree nor disagree,Strongly agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Peer feedback,NA,It may pick up more minute issues that one wouldn't have found otherwise.,"Only you know what you are writing, and using AI may hinder you making your point.",1st year,NA,Environmental Studies B.S.,"English: advanced, French: beginner",Yes,NA,English,NA,No,NA,No,NA,White/Caucasian,Yes,"Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",No impact on confidence,Peer feedback,NA,Neither agree nor disagree,Neither agree nor disagree
P424,DVW,spring_24,1st year,NA,Data Science,"English: advanced, Malayalam: intermediate",No,18 years old,No,NA,No,NA,International,Yes,2 = infrequently,Revising (ask AI to revise your work),NA,AI helps to find mistakes that peers were not able to find or if I am unable to find a peer in time.,Strongly agree,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Both AI and peer feedback,NA,AI might find specific areas to help improve that is not found by peers.,Disadvantages could include plagiarism like using word for word copying or taking ideas as your own.,1st year,NA,Data Science,"English: advanced, Malayalam: advanced, Spanish: intermediate",No,18 years old,English,NA,No,NA,No,NA,International,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,Peer feedback,NA,Somewhat agree,Somewhat agree
P426,PLA,spring_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd year,NA,Psychology,English: intermediate; Mandarin: advanced,No,16 years old,English,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Checking citations,Improving organization, flow, transitions",No impact on confidence,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P493,DSW,spring_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st year,NA,Design/film,English: advanced French: Beginner,Yes,NA,English,NA,No,NA,Yes,NA,"Asian/Pacific Islander,White/Caucasian",Yes,"Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,Peer feedback,NA,Strongly agree,Neither agree nor disagree
P506,HSW,spring_24,3rd year,NA,Human Biology,"English: Advanced, Tagalog: Advanced",No,16 years old,No,NA,Prefer not to answer,NA,Asian/Pacific Islander,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar),Other",I ask for examples of different prompt & ask to explain a topic in a different way.,"To get a different perspective of a specific idea or material and compare to the feedback my peers provided me. Also, there are times that I don’t notice typos or mistakes so getting help from AI in that area helps me see what I can change and from there decide how to change either the structure or grammatical errors.",Somewhat agree,Somewhat agree,Neither agree nor disagree,No,NA,NA,No impact on confidence,Strongly agree,Other,TA or instructor feedback along with peer feedback,AI provides instant feedback and one wouldn’t feel like they’re being a other to others.,Sometimes the feedback is too broad and specific parts of the writing doesn’t get addressed.,3rd year,NA,Human Biology,"English: advanced, Tagalog: advanced",No,16 years old,English,NA,No,NA,Prefer not to answer,NA,Asian/Pacific Islander,No,NA,More confident about my writing,Peer feedback,NA,Somewhat agree,Neither agree nor disagree
P649,DSW,spring_24,3rd year,NA,Design,Japanese: advanced English: Advanced Korean:Beginner,No,20 years old,No,NA,No,NA,Asian/Pacific Islander,No,1 = never,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,"Sometimes my grammar is not good, and also I wanna know the languages, which I do not know.",Neither agree nor disagree,Somewhat disagree,Somewhat agree,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Peer feedback,NA,I can know something advice which I did not notice.,"I don't know if that advice is right or wrong. Furthermore, we may receive incorrect information.",3rd year,NA,Design/ Graphic Design,Japanese: Advanced English: Intermediate Korean: Beginner,No,20,Other,Japanese,No,NA,No,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions",More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Somewhat agree
P245,PLA,spring_24,1st year,NA,Cognitive Science,"English: Advanced, Korean: Beginner",Yes,NA,No,NA,No,NA,Asian/Pacific Islander,No,3 = neither frequently nor infrequently,I do not use AI Writing Tools,NA,NA,Somewhat agree,NA,Strongly agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,Strongly agree,Both AI and peer feedback,NA,"ChatGPT is definitely a time saver, especially for grammatical  feedback. It is also good for if you have writers block and need a quick and stupid idea.","Its disingenuous. AI is just an amalgamation of information. It is made by stealing other peoples works and meshing it together, so it is worrying that my writing will be used to feed more data to it.",1st year,NA,Medical Micro Biology,English: Advanced,Yes,NA,English,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",No impact on confidence,AI and peer feedback used together,NA,Strongly agree,Somewhat agree
P246,PLA,spring_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th year,NA,Design,"English: advanced, Spanish, Italian: Intermediate",Yes,NA,English,NA,No,NA,No,NA,White/Caucasian,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",No impact on confidence,Peer feedback,NA,Somewhat agree,Somewhat disagree
P247,DSW,spring_24,2nd year,NA,Design,"English: advanced, Hmong: Beginner",Yes,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,Only recently I have started to use AI in order to check for grammar issues.,Somewhat agree,Neither agree nor disagree,Strongly agree,No,NA,NA,Unsure,Somewhat agree,Peer feedback,NA,It can likely improve phrasing and help with grammatical issues.,"Since AI uses data algorithms usually compiled from a bundle of users, it is essentially a form of plagiarism.",2nd year,NA,Design,English: advanced,Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",No impact on confidence,Peer feedback,NA,Strongly agree,Neither agree nor disagree
P249,PLA,spring_24,2nd year,NA,Biochemistry and Molecular Biology,"English: advanced, Cantonese: intermediate",Yes,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat agree,Somewhat agree,Somewhat disagree,No,NA,NA,No impact on confidence,Somewhat agree,Peer feedback,NA,NA,NA,2nd year,NA,Biochemistry and Molecular Biology,"English: advanced, Cantonese: intermediate, Spanish: beginner",Yes,NA,English,NA,No,NA,No,NA,Asian/Pacific Islander,No,NA,More confident about my writing,Peer feedback,NA,Strongly agree,Neither agree nor disagree
P252,PLA,spring_24,3rd year,NA,Psychology,English: advanced,Yes,NA,No,NA,Yes,NA,White/Caucasian,No,1 = never,I do not use AI Writing Tools,NA,NA,Neither agree nor disagree,Somewhat agree,Somewhat agree,No,NA,NA,Less confident about my writing,Strongly agree,AI feedback,NA,"I think in terms of grammar, syntax, and general coherence, AI feedback is valuable.","A disadvantage may be that AI cannot pick up on tone, ""voice"", or nuance in writing as well as a human might be able to.",3rd year,NA,Psychology (BA),English: advanced,Yes,NA,English,NA,No,NA,Yes,NA,White/Caucasian,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Strengthening Argument",Less confident about my writing,AI and peer feedback used together,NA,Neither agree nor disagree,Somewhat agree
P253,PLA,spring_24,1st year,NA,Psychology,"Turkish: advanced, English: advanced",No,19,No,NA,No,NA,White/Caucasian,Yes,2 = infrequently,"Editing for Grammar/Clarity (ask AI to edit for grammar),Write paper in another language and then use AI to edit in English",NA,"Since English is not my native language, sometimes I can't describe of what I want to say, so I get help from AI.",Strongly agree,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,Strongly agree,Peer feedback,NA,Sometimes getting feedback from AI can help to expand our existing ideas,Sometimes AI can misunderstand what we need to do and can give false feedback,1st year,NA,psychology,"English- advanced, Turkish-advanced",No,18 years old,Other,Turkish,No,NA,No,NA,White/Caucasian,Yes,"Editing for grammar and word choice,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P254,DSW,spring_24,2nd year,NA,design and communication minor,English: advance Spanish:advance,Yes,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos",NA,More confident about my writing,Strongly agree,Peer feedback,NA,I think that it can give you a great start to learning what needs to be fixed within the paper,People can take advantage of the use of AI,2nd year,NA,Design,"English: advance , Spanish: advance",Yes,NA,English,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos",More confident about my writing,Peer feedback,NA,Somewhat agree,Somewhat agree
P256,PLA,spring_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th year,NA,"B.A Sociology, B.A Psychology",English: Advanced Spanish: Advanced,Yes,NA,English,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,Yes,"Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,Peer feedback,NA,Strongly agree,Somewhat disagree
P257,PLA,spring_24,3rd year,NA,Psychology,English,Yes,NA,Yes,NA,Yes,NA,"Asian/Pacific Islander,Hispanic/Latinx/Chicanx,White/Caucasian",Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,Can help clarify certain topics and help me start brainstorming my essay,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Somewhat agree,Both AI and peer feedback,NA,allow us to better understand topics within our writing we may struggle with,plagarism detection amongst submission,5th year,NA,Psychology,English: advanced,Yes,NA,English,NA,Yes,NA,Yes,NA,"Asian/Pacific Islander,Hispanic/Latinx/Chicanx,White/Caucasian",Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,AI and peer feedback used together,NA,Neither agree nor disagree,Somewhat agree
P258,HSW,spring_24,4th year,NA,B.S pyschology,English: advanced.  Persian: Advanced,No,15 years old,Yes,NA,Yes,NA,Other,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Writing (ask AI to write paragraphs),Write paper in another language and then use AI to translate into English",NA,For grammer reasons mostly,Strongly agree,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Checking citations,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,Strongly agree,Both AI and peer feedback,NA,New ideas.,Too much reliance,4th year,NA,B.S psychology,"English: Advanced, Persian: Advanced",No,15 years old,"English,Other",Persian,Yes,NA,Yes,NA,Other,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",Less confident about my writing,Peer feedback,NA,Strongly agree,Strongly agree
P262,PLA,spring_24,3rd year,NA,"Neurobiology, Physiology, & Behavior",English: advanced,Yes,NA,No,NA,No,NA,Asian/Pacific Islander,No,1 = never,I do not use AI Writing Tools,NA,NA,Strongly agree,Strongly agree,Neither agree nor disagree,No,NA,NA,No impact on confidence,Strongly agree,Both AI and peer feedback,NA,AI serves as a quick and accessible resource for quality assurance at any given time.,AI may not be as helpful in writing about more niche topics.,3rd year,NA,"Neurobiology, Physiology, and Behavior",English: advanced,Yes,NA,English,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",No impact on confidence,AI and peer feedback used together,NA,Neither agree nor disagree,Neither agree nor disagree
P264,DSW,spring_24,1st year,NA,Design,beginner/intermediate Korean; advanced English; intermediate Spanish; beginner/intermediate French,Yes,NA,No,NA,Yes,NA,Asian/Pacific Islander,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat agree,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,Somewhat agree,Both AI and peer feedback,NA,Helps you to understand your weaknesses and improve your writing skills,Copying and pasting whatever is generated from AI into your writing; cheating/plagiarism,1st year,NA,Design,"English: advanced, Korean: intermediate",Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,Peer feedback,NA,Somewhat agree,Neither agree nor disagree
P265,PLA,spring_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2nd year,NA,International Agricultural Development/Chicano Studies,"English: advanced, Spanish: advanced",Yes,NA,English,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,Peer feedback,NA,Strongly agree,Strongly agree
P267,PLA,spring_24,4th year,NA,Psychology/Sociology,English - Advanced,Yes,NA,No,NA,Yes,NA,White/Caucasian,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,creating an outline and/or simplifying paper prompts when confusing,Somewhat agree,Somewhat agree,Somewhat agree,No,NA,NA,Less confident about my writing,Somewhat agree,Peer feedback,NA,ChatGPT helps with building outlines and creating structure in paper,"ChatGPT is not also accurate and can give out misinformation, also it makes it easier to cheat",4th year,NA,Psychology/sociology,English: advanced,Yes,NA,English,NA,No,NA,Yes,NA,White/Caucasian,No,NA,Less confident about my writing,AI and peer feedback used together,NA,Neither agree nor disagree,Neither agree nor disagree
P268,PLA,spring_24,1st year,NA,Psychology,English,Yes,NA,Yes,NA,Yes,NA,"African-American/Black,American Indian/Alaskan Native,Asian/Pacific Islander",No,1 = never,I do not use AI Writing Tools,NA,NA,Strongly agree,Somewhat disagree,Strongly agree,No,NA,NA,More confident about my writing,Somewhat agree,Other,N.A,It could help provide insight into a topic or a better understanding,You could heavily rely on it or become dependent,3rd year,NA,Psych,English  Advanced,Yes,NA,English,NA,Yes,NA,Yes,NA,"African-American/Black,Asian/Pacific Islander",No,NA,Unsure,Peer feedback,NA,Strongly agree,Somewhat disagree
P269,PLA,spring_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th year,NA,Clinical Nutrition,English: Advanced Tagalog: Intermediate,No,6 years old,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,No,NA,No impact on confidence,Peer feedback,NA,Somewhat agree,Somewhat disagree
P277,PLA,spring_24,1st year,NA,Medical Molecular Microbiology,English- Advanced ; Armenian- Advanced ; French- Intermediate,Yes,NA,Yes,NA,Yes,NA,Prefer not to answer,No,2 = infrequently,I do not use AI Writing Tools,NA,NA,Strongly agree,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Both AI and peer feedback,NA,Abundance of ideas to get you started,Lack of experience in writing and use of creativity,1st year,NA,Medical & Molecular Microbiology,"Advanced: English, Armenian, French",Yes,NA,English,NA,Yes,NA,Yes,NA,Prefer not to answer,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,Peer feedback,NA,NA,NA
P280,PLA,spring_24,4th year,NA,ARTHI,"English: advanced, Danish: advanced",No,6,Yes,NA,Other,Go to UCSB,White/Caucasian,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,For grammar.,Strongly agree,Somewhat agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,Strongly agree,AI feedback,NA,Clear outline and grammar.,Overly embellished language.,3rd year,NA,NA,NA,No,6,English,NA,Yes,NA,Yes,NA,White/Caucasian,Yes,"Checking citations,Strengthening Argument",Less confident about my writing,Peer feedback,NA,Neither agree nor disagree,Neither agree nor disagree
P281,DSW,spring_24,1st year,NA,"Civil Engineering, changing to Design",English: advanced,Yes,NA,No,NA,Yes,NA,"Hispanic/Latinx/Chicanx,White/Caucasian",No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat agree,Neither agree nor disagree,Strongly agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Peer feedback,NA,It can make you sound more confident and can help with grammar and spelling mistakes,"It is not your own work or ideas, it does not come from you",1st year,NA,NA,"English: advanced, Spanish: intermediate",Yes,NA,English,NA,No,NA,Yes,NA,"Hispanic/Latinx/Chicanx,White/Caucasian",Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",More confident about my writing,Peer feedback,NA,Somewhat agree,Neither agree nor disagree
P282,PLA,spring_24,4th year,NA,Biological Sciences/Technology Management,"English: advanced, Indonesian: advanced, Mandarin Chinese: intermediate",No,19 years old,No,NA,No,NA,"Asian/Pacific Islander,International",No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat agree,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Both AI and peer feedback,NA,"Using AI to peer review has no emotion towards the feedback, which means that the feedback is straightforward",There might be feedbacks where it may just be too simple such as to review grammar when I wanted more in depth feedback,4th year,NA,Biological Sciences/Technology Management,"English: advanced, Indonesian: advanced, Mandarin: beginner-intermediate",No,19 years old,English,NA,No,NA,No,NA,"Asian/Pacific Islander,International",Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P285,PLA,spring_24,3rd year,NA,linguistic,Mandarin:advanced,No,21,Yes,NA,No,NA,"Asian/Pacific Islander,International",No,2 = infrequently,I do not use AI Writing Tools,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,"Checking citations,Improving use of evidence,Improving organization, flow, transitions",NA,No impact on confidence,Neither agree nor disagree,Other,NA,You can get clear and organized advice,"There are too many formulae, no own thinking",3rd year,NA,linguistic,mandarin advanced,No,21,English,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Checking citations",More confident about my writing,Peer feedback,NA,Neither agree nor disagree,Neither agree nor disagree
P286,BSW,spring_24,3rd year,NA,Computer Engineering,"English: advanced, Cantonese: advanced",Yes,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,Yes,2 = infrequently,Revising (ask AI to revise your work),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3rd year,NA,Managerial Economics,"English: advanced, Cantonese: advanced",Yes,NA,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,No,NA,More confident about my writing,Peer feedback,NA,Somewhat agree,Neither agree nor disagree
P287,FYW,spring_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1st year,NA,Wildlife Fish and Conservation Biology,English,Yes,NA,English,NA,No,NA,No,NA,African-American/Black,No,NA,Unsure,Other,Instructor or TA feedback,Strongly agree,Strongly agree
P288,DSW,spring_24,2nd year,NA,"Design Major, CS Minor","English: advanced, Tamil: intermediate, Spanish: beginner",Yes,NA,No,NA,Yes,NA,Asian/Pacific Islander,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I use it to save time and be more efficient in reading and editing my work. I don't really like using it for actual writing because the writing it outputs feels robotic or impersonal.,Strongly agree,Strongly agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Both AI and peer feedback,NA,"Efficiency, ChatGPT can help improve the structure of writing to make it more concise and clear.",ChatGPT can be unreliable and sometimes it's feedback can not fit the style of your writing.,2nd year,NA,"Design major, Computer Science minor, Anthropology minor","English: advanced, Tamil: intermediate",Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,No,NA,No impact on confidence,AI and peer feedback used together,NA,Strongly agree,Strongly agree
