Participant_ID,Multilingualism,Language_immigration_background,age_arrival_US,MIGS,Course_pre,Term_pre,Year_pre,Year_write_pre,Major_pre,Languages_pre,Born_US_pre,Age_move_US_pre,1st_gen_pre,1st_gen_write_pre,financial_aid_pre,financial_aid_write_pre,ethnicity_pre,ethnicity_write_pre,confident_write_academic_paper_pre,confident_write_clearly_pre,good_grades_pre,generating_ideas_easy_pre,strategies_difficulties_pre,persistence_pre,task_on_time_pre,SE_pre,Used_AI_pre,Frequence_use_AI,Uses_of_AI,Uses_of_AI_write,Why_use_AI,Understand_limitations_pre,AI_Valuable_part_process_pre,AI_Plagiarism_pre,Drafts_pre,Focus_drafts_pre,Focus_drafts_write_pre,Feedback_feel_pre,Feedback_importance_pre,TA_feedback_clarity_helpful_pre,Peer_feedback_clarity_helpful_pre,Preferred_feedback_pre,Preferred_feedback_write_pre,Advantages_AI_pre,Disadvantages_AI_pre,Term_post,Time_post,Year_post,Year_write_post,Major_post,Course_post,Languages_post,Born_US_post,Age_move_US_post,Language_write_in_post,Language_write_in_other_post,1st_gen_post,1st_gen_write_post,financial_aid_post,financial_aid_write_post,ethnicity_post,ethnicity_write_post,confident_write_academic_paper_post,confident_write_clearly_post,good_grades_post,generating_ideas_easy_post,strategies_difficulties_post,persistence_post,task_on_time_post,SE_post,Drafts_post,Focus_drafts_post,Focus_drafts_write_post,Feedback_feel_post,Feedback_importance_post,TA_feedback_clarity_helpful_post,Peer_feedback_clarity_helpful_post,Uses_of_AI_course_post,Uses_of_AI_course_write_post,Why_use_AI_course_post,AI_helpful_open_ended_post,Continue_conversation_post,Continue_conversation_write_post,Frequency_AI_use_post,Understand_limitations_post,ChatGPT_feedback_useful_post,ChatGPT_feedback_accurate_post,ChatGPT_feedback_implement_post,ChatGPT_feedback_continue_post,AI_Valuable_part_process_post,AI_Plagiarism_post,peer_feedback_useful_post,peer_feedback_accurate_post,peer_feedback_implement_post,peer_feedback_continue_post,peer_Valuable_part_process_post,peer_Plagiarism_post,peer_motivate_revise_post,AI_motivate_revise_post,AI_and_peer_feedback_post,Preferred_feedback_post,Preferred_feedback_write_post,Advantages_AI_post,Disadvantages_AI_post
P417,multilingual,multilingual_LOTE_HLFL,birth,other,PLS: Just Coffee,spring_24,4th year,NA,Economics and Politcal Science,English: advanced Vietnamese: intermediate,Yes,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,2,2,2,2,2,2,2,2,Yes,2 = infrequently,Other,Summarizing topics or generating ideas,I use AI tools to write brief summaries or examples of assignments I have to do,2,1,0,No,NA,NA,No impact on confidence,2,2,0,Other,Professors,"Non, AI feedback is mundane and surface level often missing many key details",AI at this point in time atleast free to use ones are very limited and broad the disadvantage can be little to no good feedback that can extend to misinformation if the topic overwhealms the AI.,spring_24,post,4th year,NA,Economics and Political Science,PLS: Just Coffee,"English: Advanced, Vietnamese: intermediate-advanced",Yes,NA,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,2,2,2,2,2,2,2,2,No,NA,NA,More confident about my writing,2,0,-2,Other,Creating ideas,It gives me a basis to start with,Just having a some brief ideas to make my own ideas from,No,NA,,2,1,1,-1,0,1,0,-1,-2,-2,-1,1,-2,0,0,0,Other,TA,"Generates ideas, gives some good information","Inaccurate information, no depth in the writing, over use can lead to surface level interpretations."
P419,multilingual,multilingual_LOTE_HLFL,birth,other,PLS: Just Coffee,spring_24,5th year,NA,Global Disease Biology,"English: Advance, Spanish:Advanced",Yes,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,NA,1,2,1,0,-1,0,1,0.57142857,No,1 = never,I do not use AI Writing Tools,NA,NA,0,1,-1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",NA,Less confident about my writing,1,1,1,Peer feedback,NA,I feel it may be able to detect flow better and advise on structure,It may be limiting in the sense of what type of structure it deems advisable?,spring_24,post,5th year,NA,Global Disease Biology,PLS: Just Coffee,"English-advanced, Spanish- advanced",Yes,NA,English,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,NA,1,1,2,1,1,2,2,1.42857143,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Strengthening Argument",NA,More confident about my writing,1,2,1,Feedback (asked AI to provide comments on your work),NA,I gave it the prompt that was given to us in class in a short writing assignment,No a lot...it sounded really similar to what my classmate had already said so I did not feel I benefited it,No,NA,,2,0,0,-1,-2,1,2,1,1,1,1,2,-2,1,1,2,Peer feedback,NA,I guess it let me know about topic sentences that needed work,I don't trust AI to be accurate yet. So I don't rely on it at all
P441,monolingual,monolingual,birth,other,UWP 12: Writing & Visual Rhetoric,spring_24,2nd year,NA,design,english,Yes,NA,No,NA,No,NA,White/Caucasian,NA,2,2,2,1,1,1,1,1.42857143,No,2 = infrequently,I do not use AI Writing Tools,NA,NA,2,1,1,No,NA,NA,More confident about my writing,1,1,1,Peer feedback,NA,It will catch grammar and spelling errors and help make writing clearer,It does not replace human feedback or know what it is like to read the writing as a human.,spring_24,post,2nd year,NA,Design,UWP 12: Writing & Visual Rhetoric,English advanced,Yes,NA,English,NA,No,NA,No,NA,White/Caucasian,NA,2,2,2,2,2,1,1,1.71428571,No,NA,NA,More confident about my writing,1,1,1,"Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,I used it for revising because it was asked of us.,"No, it was not helpful because it just told me what I already knew.",No,NA,,2,-2,1,-2,-2,0,-1,1,1,1,-1,2,-2,1,-2,1,Peer feedback,NA,NA,NA
P443,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 104A: Business Writing,spring_24,3rd year,NA,Managerial Economics / Technology Management,"English advanced, Korean beginner, Spanish beginner",Yes,NA,No,NA,Yes,NA,Asian/Pacific Islander,NA,2,2,2,1,1,1,2,1.57142857,Yes,3 = neither frequently nor infrequently,Revising (ask AI to revise your work),NA,NA,1,1,0,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Unsure,1,2,0,Other,Teacher / TA,To find more concise information easier,Accidental plagiarism or false information,spring_24,post,3rd year,NA,Managerial economics,UWP 104A: Business Writing,Englisg,Yes,NA,English,NA,No,NA,Prefer not to answer,NA,Asian/Pacific Islander,NA,1,1,1,1,1,1,1,1,No,NA,NA,More confident about my writing,1,1,1,"Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,NA,Giving ideas,No,NA,,1,1,0,-1,0,1,-1,1,1,1,1,1,-2,1,1,0,Peer feedback,NA,NA,NA
P444,monolingual,monolingual,birth,other,UWP 12: Writing & Visual Rhetoric,spring_24,2nd year,NA,Design,English,Yes,NA,No,NA,No,NA,White/Caucasian,NA,2,2,1,0,1,0,0,0.85714286,No,1 = never,I do not use AI Writing Tools,NA,NA,1,0,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,2,0,-2,Peer feedback,NA,Advantages is it can spark ideas and help you understand concepts.,Information can be incorrect and if some people use it and others don't it feels unfair if used irresponsibly.,spring_24,post,2nd year,NA,Design,UWP 12: Writing & Visual Rhetoric,English: advanced,Yes,NA,English,NA,No,NA,No,NA,White/Caucasian,NA,1,2,-1,0,1,-1,0,0.28571429,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,2,1,-2,Feedback (asked AI to provide comments on your work),NA,I used it to see if my draft answered all the questions of the prompt.,I found most of it helpful in its suggestions it encouraged me in a way that didn't lower my confidence.,No,NA,,1,1,2,1,0,1,0,-1,1,1,0,1,-2,1,1,1,AI and peer feedback used together,NA,It gave me a clearly structured way of looking at strengths and improvements.,"I felt morally bad about it even though we were asked to do what I did and it made me feel violated and question the validity from technology giving me advice. It also wouldn't be super specific or brainstorm with me, but I also didn't have a conversation with it."
P454,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 12: Writing & Visual Rhetoric,spring_24,2nd year,NA,Design,"English: advanced, Spanish: beginner",Yes,NA,No,NA,Yes,NA,Asian/Pacific Islander,NA,1,1,1,1,1,1,1,1,No,1 = never,I do not use AI Writing Tools,NA,NA,-1,0,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,1,Peer feedback,NA,"I think using AI for writing can be that it can help one with ideas for their paper, or how certain evidence can be helpful.",I think that some concerns about using AI is that it can limit my creativity and cause me to be unable to come up with my own ideas.,spring_24,post,2nd year,NA,Design,UWP 12: Writing & Visual Rhetoric,English: advanced,Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,NA,2,2,2,2,2,2,2,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,2,2,1,Feedback (asked AI to provide comments on your work),NA,I used AI to give suggestions on how to improve my multimodal project.,"I found the organization of suggestions from AI feedback, like listing what needs improvement, helpful.",No,NA,,1,2,2,1,0,0,0,2,1,1,1,1,0,1,1,1,Peer feedback,NA,Advantages from using ChatGPT for feedback is that it is very organized and clear on what needs to improvement and can be asked as many questions.,A concern is that there is the chance it misunderstands some parts of the writing.
P456,multilingual,multilingual_LOTE_HLFL,birth,other,PLS: Just Coffee,spring_24,1st year,NA,Biological Science,"English: advanced, Spanish: intermediate",Yes,NA,Yes,NA,Yes,NA,"Asian/Pacific Islander,Hispanic/Latinx/Chicanx",NA,2,2,2,1,2,2,2,1.85714286,No,1 = never,I do not use AI Writing Tools,NA,NA,2,-1,2,No,NA,NA,More confident about my writing,2,2,2,Peer feedback,NA,"It might show you where to put any annotations, or what can advance the writing with different vocab.",It's an AI and inefficient than an actual person.,spring_24,post,1st year,NA,Biological Sciences,PLS: Just Coffee,"English, advanced; Spanish, Beginner",Yes,NA,English,NA,Yes,NA,Yes,NA,"Asian/Pacific Islander,Hispanic/Latinx/Chicanx",NA,1,1,1,1,1,1,0,0.85714286,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence",NA,More confident about my writing,2,1,1,Feedback (asked AI to provide comments on your work),NA,I needed to ask for AI feedback on one of my assignments.,It gave me feedback very quickly and pinpointed specific parts of my paper that I could improve.,No,NA,,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,AI and peer feedback used together,NA,"Fast feedback, simple to understand",It might misinterpret some of the words/writing because it doesn't have human comprehension
P461,monolingual,monolingual,birth,other,UWP 104FY: Writing in Health Science,spring_24,5th year,NA,Biological Sciences,English: advanced,Yes,NA,No,NA,No,NA,Hispanic/Latinx/Chicanx,NA,1,1,2,-1,1,0,1,0.71428571,No,1 = never,I do not use AI Writing Tools,NA,NA,-2,0,-1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving organization, flow, transitions",NA,Less confident about my writing,2,2,1,Peer feedback,NA,I think an advantage would be catching errors such as grammer and punctuation. Especially for specific gramatical rules that people may not fully understand or forget.,"I don't use AI so I am not aware of how it works, but if I did use it I would be concerned about the originality of the feedback it is giving me. How many other individuals did it give this feedback to because it is designed to look for certain features?",spring_24,post,5th year,NA,Biological Sciences,UWP 104FY: Writing in Health Science,English: advanced,Yes,NA,English,NA,No,NA,No,NA,Hispanic/Latinx/Chicanx,NA,1,2,2,1,2,2,2,1.71428571,No,NA,NA,Less confident about my writing,2,2,1,Feedback (asked AI to provide comments on your work),NA,With AI I used it to give feedback on my writing assignments. I submitted the assignment and rubric to give any feedback from those two documents.,I found the surface level feedback helpful. Such as clarity and organization of the paper.,No,NA,,1,1,1,1,0,1,0,1,1,1,2,2,-2,1,0,2,Peer feedback,NA,The time it took to recieve feedback was pretty immediate. So it was nice to have that tool available at any time of the day and receive feedback really quickly.,With one of my assignments it seemed as if AI did not even read my paper. I think sometimes things happen where AI just isn't working properly.
P464,multilingual,gen_1_5,childhood,other,UWP 12: Writing & Visual Rhetoric,spring_24,1st year,NA,Psychology & Design,"English: advanced, Spanish: intermediate, Irish: beginner",No,10,No,NA,No,NA,White/Caucasian,NA,1,2,2,2,2,2,1,1.71428571,Yes,3 = neither frequently nor infrequently,Other,making outlines for writing,I like to have it create outlines that help me brainstorm and inspire me on how I might structure my papers,0,0,0,No,NA,NA,Unsure,-1,-1,-2,Other,no feedback,might give inspiration,might not fully comprehend your writing and give appropriate feedback,spring_24,post,1st year,NA,Psychology & Design,UWP 12: Writing & Visual Rhetoric,"English: advanced, Spanish: intermediate, Irish: intermediate",No,9 years old,English,NA,No,NA,No,NA,White/Caucasian,NA,1,2,2,2,1,2,2,1.71428571,No,NA,NA,No impact on confidence,1,0,-1,Feedback (asked AI to provide comments on your work),NA,I used it for outline generation and for feedback to help me write good work,Not really any I disagreed with most of it,No,NA,,2,-1,-1,-2,0,1,0,-1,0,0,0,2,-2,0,-1,0,Peer feedback,NA,It might be wrong feedback,The feedback could make my writing worse
P466,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 1: Introduction to Academic Literacies (First-Year Writing),spring_24,2nd year,NA,Sustainable Environmental Design,"English- advanced, Czech- advanced, Spanish- intermediate, Portuguese- beginner",Yes,NA,No,NA,No,NA,White/Caucasian,NA,2,2,2,1,1,2,2,1.71428571,No,1 = never,I do not use AI Writing Tools,NA,NA,2,2,1,No,NA,NA,No impact on confidence,2,2,-1,AI feedback,NA,AI and chat GTP can comment on technical things in my writing but many not be able to get a feel for it in comparison to a human reading it,"I would use AI but certainly wouldn√ït rely on it, it does not replace a human",spring_24,post,2nd year,NA,Sustainable Environmental Design,UWP 1: Introduction to Academic Literacies (First-Year Writing),"English, Czech, Spanish",Yes,NA,English,NA,No,NA,No,NA,White/Caucasian,NA,1,2,2,1,2,0,2,1.42857143,No,NA,NA,No impact on confidence,2,2,-1,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work)",NA,"I don't use AI much, only what the professor instructed to use it for which was for review","I found it to be very helpful. It is kind of difficult to use as you have to copy paste a very specific prompt for the machine that I don't think I could write myself, however AI did give helpful feedback and suggestions.",No,NA,,2,2,2,1,-1,2,0,-1,1,-2,-2,-1,-2,-1,1,1,AI feedback,NA,It has given me specific feedback on certain aspects I have not thought of before as well as giving a new perspective on my writing,I would just find it really difficult to create the specific prompt to plug into AI that was provided to me
P474,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 104FY: Writing in Health Science,spring_24,3rd year,NA,Human Biology,English: advanced; Vietnamese: intermediate,Yes,NA,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,-1,0,0,-1,0.14285714,Yes,2 = infrequently,I do not use AI Writing Tools,NA,NA,-1,0,0,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,2,1,0,Both AI and peer feedback,NA,"AI can help with grammar, punctuation or sentence structure.",AI can't provide evidence specific feedback on writing.,spring_24,post,3rd year,NA,Human Biology,UWP 104FY: Writing in Health Science,English: advanced; Vietnamese: intermediate,Yes,NA,English,NA,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,0,0,1,1,0.71428571,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,1,Feedback (asked AI to provide comments on your work),NA,I used AI to help with my sentence structure and to provide overall feedback.,I found that AI was super helpful in letting me know which aspects of my writing needed more work.,No,NA,,-1,1,0,0,0,1,0,1,1,1,1,1,-2,1,0,1,AI and peer feedback used together,NA,AI is able to help me with my sentence structure and grammatical errors.,"AI is a machine, so it won't be able to acknowledge if my writing does a good job in addressing my audience."
P475,monolingual,monolingual,birth,other,UWP 1: Introduction to Academic Literacies (First-Year Writing),spring_24,2nd year,NA,Psychology,English: advanced,Yes,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,2,2,1,1,0,0,0,0.85714286,Yes,2 = infrequently,Feedback (ask AI to provide comments on your work),NA,"I don√ït use it for writing, more for studying and definitions.",1,1,1,No,NA,NA,More confident about my writing,1,2,1,Peer feedback,NA,Stronger structure maybe? I√ïve never used it for writing.,Too much reliance,spring_24,post,2nd year,NA,Psychology,UWP 1: Introduction to Academic Literacies (First-Year Writing),English: advanced,Yes,NA,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,2,1,2,1,1,1,1,1.28571429,No,NA,NA,More confident about my writing,2,2,2,Feedback (asked AI to provide comments on your work),NA,I only used the prompts that were provided by the assignment.,"Honestly, AI feedback didn't provide any real helpful feedback that I didn't already know either through my peers or my own revision.",No,NA,,2,1,0,-1,-1,1,0,2,1,1,1,1,-2,2,-1,2,AI and peer feedback used together,NA,"It really helped me organize my paragraph structures, which is something I agree with.",It could be tempting for people to abuse its uses.
P480,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 12: Writing & Visual Rhetoric,spring_24,4th year,NA,Design,"Japanese: Intermediate, English: Intermediate",Yes,NA,Yes,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,1,0,2,0,0.85714286,No,1 = never,I do not use AI Writing Tools,NA,NA,1,0,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,1,Peer feedback,NA,"The ones who are truly motivated to get better at writing can use it as an another source to get feedback, or bounce ideas off of and further improve their work.",Most people who are not motivated to write will levitate towards asking the AI to write out the entire assignment or paper.,spring_24,post,4th year,NA,Design / Art Studio,UWP 12: Writing & Visual Rhetoric,"English :Intermediate, Japanese: Intermediate",Yes,NA,English,NA,Yes,NA,Other,Not and issue but helps,Asian/Pacific Islander,NA,0,1,-1,1,1,1,2,0.71428571,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,1,1,0,I did not use AI Writing Tools,NA,NA,I did not use any tools from AI,No,NA,,1,1,-1,-2,-1,2,-1,0,0,0,-1,2,-2,0,0,0,AI and peer feedback used together,NA,"It's like having an assistance, good kickstarter for atopic or finding answers to questions quick","Lose the ability to go out and find answer myself, become lazy and depend on algorithm brought information, compromised opportunity to learn."
P486,multilingual,multilingual_LOTE_HLFL,birth,other,PLS: Just Coffee,spring_24,2nd year,NA,"Neurobiology, Physiology, and Behavior","English: advanced, Spanish: intermediate",Yes,NA,Yes,NA,No,NA,Hispanic/Latinx/Chicanx,NA,1,2,2,1,2,1,2,1.57142857,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,I use AI in my writing process to check for any spelling errors or any missed punctuation.,2,0,1,No,NA,NA,More confident about my writing,2,2,2,Peer feedback,NA,I think that AI can improve your writing in terms of clarity. Punctuation can negatively affect your writing so correcting this can improve the flow of your writing.,"I think that relying on AI to write papers is cheating yourself on the ability to improve your professional skills. Writing is something that you can better the more you practice, so by using AI to write your papers not only is this plagiarism, but you are also cheating yourself.",spring_24,post,2nd year,NA,"Neurobiology, Physiology, and Behavior",PLS: Just Coffee,"English: advanced, Spanish: advanced",Yes,NA,English,NA,Yes,NA,No,NA,Hispanic/Latinx/Chicanx,NA,2,2,2,1,2,1,2,1.71428571,No,NA,NA,More confident about my writing,2,2,2,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,"For one of the assignments, we were told to ask AI to revise our writing and look for areas of improvement.",I think that AI helped generate ideas of ways to improve my paper. It included things that we may not have caught when revising.,No,NA,,2,1,1,0,1,0,0,2,2,1,2,2,-2,2,1,0,Peer feedback,NA,It is very helpful to correct any grammar and punctuation mistakes.,I think that some may take advantage and plagiarize.
P487,multilingual,multilingual_LOTE_HLFL,birth,other,PLS: Just Coffee,spring_24,4th year,NA,Communications major,"English advanced, Japanese intermediate",Yes,NA,Yes,NA,Yes,NA,"Asian/Pacific Islander,White/Caucasian",NA,2,2,2,2,2,2,2,2,No,1 = never,I do not use AI Writing Tools,NA,NA,2,-2,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,0,Other,TA,helps brainstorm ideas,cheating,spring_24,post,4th year,NA,Communications,PLS: Just Coffee,English - native Japanese - intermediaete,Yes,NA,English,NA,Yes,NA,Yes,NA,"Asian/Pacific Islander,White/Caucasian",NA,2,2,2,2,2,2,2,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving organization, flow, transitions",NA,More confident about my writing,2,2,2,I did not use AI Writing Tools,NA,NA,NA,No,NA,,2,0,0,0,0,0,1,1,1,1,1,1,-2,2,-2,0,Peer feedback,NA,NA,NA
P488,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 104FY: Writing in Health Science,spring_24,1st year,NA,Human Development,"English: Advanced, Vietnamese: Intermediate",Yes,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,1,1,1,-1,0,1,1,0.57142857,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Writing (ask AI to write paragraphs),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"Coming up with ideas, revising and editing grammar",1,1,0,No,NA,NA,Less confident about my writing,2,2,1,Both AI and peer feedback,NA,"Help with any mistakes I may make, make the overall writing sound better and more advanced","Not fair, isn't completely my work",spring_24,post,3rd year,NA,Human Development; Psychology,UWP 104FY: Writing in Health Science,"English: advanced, Vietnamese: intermediate",Yes,NA,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,1,2,1,0,1,1,2,1.14285714,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,2,2,1,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,"Editing and revising my paper, how can I make it better for the rubric?","Provided explanations as to what I could improve on to make my paper stronger, fit prompt better, or fix grammar.",No,NA,,1,2,1,1,1,2,0,1,1,2,1,2,-1,2,2,2,AI and peer feedback used together,NA,"Fixes grammar, improves content of the paper to match the prompt/rubric, gives suggestions for clarity and organization.",Sometimes not always accurate
P489,monolingual,monolingual,birth,other,UWP 1: Introduction to Academic Literacies (First-Year Writing),spring_24,1st year,NA,Undeclared,English: advanced,Yes,NA,Yes,NA,No,NA,White/Caucasian,NA,1,2,2,1,1,2,-1,1.14285714,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I would usually just check for grammar.,2,2,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,1,1,Both AI and peer feedback,NA,i think it would be an advantage for revisions and grammar changes. these can be tedious yet dont really effect the ideas and overall arguement.,people can easily cheat,spring_24,post,1st year,NA,undeclared,UWP 1: Introduction to Academic Literacies (First-Year Writing),english advanced,Yes,NA,English,NA,Yes,NA,No,NA,White/Caucasian,NA,2,2,1,1,1,1,1,1.28571429,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,1,1,1,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,As part of assignments we received feedback from AI and reflected on it.,Things to address in my essay.,No,NA,,0,0,1,0,1,2,-2,1,1,1,2,2,-2,2,0,1,Peer feedback,NA,Think of things I didn't before,Limited perspective
P497,multilingual,multilingual_LOTE_HLFL,birth,other,UWP 12: Writing & Visual Rhetoric,spring_24,2nd year,NA,Design,"english: advanced, cantonese:advanced, mandarin:intermediate",Yes,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,1,1,1,0,1,0,1,0.71428571,Yes,4 = frequently,"Writing (ask AI to write paragraphs),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,Quick info,0,1,0,No,NA,NA,Less confident about my writing,1,0,1,AI feedback,NA,Real people take time to get back to you,Doesn't challenge you,spring_24,post,2nd year,NA,Des,UWP 12: Writing & Visual Rhetoric,"english, chinese",Yes,NA,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,1,1,1,-1,0,-1,0,0.14285714,No,NA,NA,Less confident about my writing,1,1,1,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work)",NA,revisions,long explanations,No,NA,,1,1,1,0,2,1,-2,1,1,2,1,1,-2,1,0,0,AI and peer feedback used together,NA,NA,NA
P499,monolingual,monolingual,birth,other,UWP 12: Writing & Visual Rhetoric,spring_24,2nd year,NA,Design,English - advanced,Yes,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,1,1,2,-1,1,0,1,0.71428571,Yes,2 = infrequently,"Editing for Grammar/Clarity (ask AI to edit for grammar),Other",generate ideas,n/a,1,0,-1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Unsure,2,2,0,Other,Instructor feedback,Generate prompts,Content can potentially be unoriginal,spring_24,post,2nd year,NA,Design,UWP 12: Writing & Visual Rhetoric,"English - Advanced, Vietnamese - Beginner, Spanish - Beginner",Yes,NA,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,1,1,1,-2,0,1,1,0.42857143,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Unsure,2,2,1,"Feedback (asked AI to provide comments on your work),Other",Planning,I was asked to use it for a peer feedback assignment and I used it to plan the layout of an assignment because I was curious about its output,It provides simple answers,No,NA,,2,1,0,0,0,1,0,1,1,1,1,1,-1,0,0,1,AI and peer feedback used together,NA,It was able to provide answers that made sense when they were given the context,They do not go into depth with their answers
P502,monolingual,monolingual,birth,other,PLS: Just Coffee,spring_24,5th year,NA,Design/ Museum Studies,English,Yes,NA,No,NA,Yes,NA,White/Caucasian,NA,2,2,2,2,2,2,2,2,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,Helps me catch spelling and grammatical errors that I might have missed,2,0,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,2,Peer feedback,NA,Convenience and objectivity,Untrustworthy,spring_24,post,5th year,NA,design/ museum studies,PLS: Just Coffee,English: advanced,Yes,NA,English,NA,No,NA,Yes,NA,White/Caucasian,NA,2,2,2,2,2,2,2,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,1,Other,used only when an course assignment specifically instructed me to do so,only for assignments that specifically instructed the use of AI,AI feedback is comprehensive,No,NA,,2,0,0,0,-2,-2,1,2,2,2,2,2,2,2,-2,-2,Peer feedback,NA,It's easy and quick,it feels lacking in integrity
